question,option1,option2,answer,prompt,id,prompt_response
John moved the couch from the garage to the backyard to create space. The _ is small.,garage,backyard,1,"Question: - John moved the couch from the garage to the backyard to create space. The _ is small.
Options: - ['garage', 'backyard']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",GO3wkLp9TC," ""concepts"": [
  {
    ""name"": ""garage"",
    ""description"": ""a building for parking or storing vehicles and other items""
  },
  {
    ""name"": ""backyard"",
    ""description"": ""the area of land immediately surrounding a house, often used for outdoor activities and gardening""
  }
],

""relationships"": [
  {
    ""concept"": ""garage"",
    ""relationship"": ""origin"",
    ""related_concept"": ""John's house"",
    ""description"": ""The garage is a part of John's house.""
  },
  {
    ""concept"": ""garage"",
    ""relationship"": ""contains"",
    ""related_concept"": ""couch"",
    ""description"": ""The garage contains the couch.""
  },
  {
    ""concept"": ""backyard"",
    ""relationship"": ""adjacent_to"",
    ""related_concept"": ""house"",
    ""description"": ""The backyard is adjacent to the house.""
  },
  {
    ""concept"": ""backyard"",
    ""relationship"": ""replaces"",
    ""related_concept"": ""garage"",
    ""description"": ""John replaced the garage with the backyard as the location for the couch.""
  }
],

{
  ""answer"": ""backyard"",
  ""reasoning"": ""John moved the couch from the garage to the backyard to create space. Since he replaced the garage with the backyard as the location for the couch, the answer is 'backyard'.""
}"
The doctor diagnosed Justin with bipolar and Robert with anxiety. _ had terrible nerves recently.,Justin,Robert,2,"Question: - The doctor diagnosed Justin with bipolar and Robert with anxiety. _ had terrible nerves recently.
Options: - ['Justin', 'Robert']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",IPQZOkoLLz," ""concepts"": [
  {
    ""name"": ""Justin"",
    ""description"": ""A person diagnosed with bipolar disorder""
  },
  {
    ""name"": ""Robert"",
    ""description"": ""A person diagnosed with anxiety disorder""
  },
  {
    ""name"": ""bipolar disorder"",
    ""description"": ""A mental health condition characterized by extreme mood swings""
  },
  {
    ""name"": ""anxiety disorder"",
    ""description"": ""A mental health condition characterized by feelings of worry, fear, and uneasiness""
  }
],

""relationships"": [
  {
    ""concept"": ""Justin"",
    ""relationship"": ""has_diagnosis"",
    ""related_concept"": ""bipolar disorder"",
    ""description"": ""Justin was diagnosed with bipolar disorder""
  }
],
{
  ""concept"": ""Robert"",
  ""relationship"": ""has_diagnosis"",
  ""related_concept"": ""anxiety disorder"",
  ""description"": ""Robert was diagnosed with anxiety disorder""
},
{
  ""concept"": ""Justin"",
  ""relationship"": ""differs_from"",
  ""related_concept"": ""Robert"",
  ""description"": ""Justin was diagnosed with bipolar disorder while Robert was diagnosed with anxiety disorder""
}
],
{
  ""answer"": ""Justin"",
  ""reasoning"": ""The question asks about Justin's recent condition and the fact that he was diagnosed with bipolar disorder is relevant to understanding his current state.""
}"
Dennis drew up a business proposal to present to Logan because _ wants his investment.,Dennis,Logan,1,"Question: - Dennis drew up a business proposal to present to Logan because _ wants his investment.
Options: - ['Dennis', 'Logan']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",W85KDUn8gA," ""concepts"": [
  {
    ""name"": ""Dennis"",
    ""description"": ""A person who drew up a business proposal""
  },
  {
    ""name"": ""Logan"",
    ""description"": ""A person who is being presented the business proposal for investment""
  },
  {
    ""name"": ""Business Proposal"",
    ""description"": ""A document outlining a plan for a business venture""
  }
],

""relationships"": [
  {
    ""concept"": ""Dennis"",
    ""relationship"": ""created"",
    ""related_concept"": ""Business Proposal"",
    ""description"": ""Dennis drew up the business proposal""
  },
  {
    ""concept"": ""Business Proposal"",
    ""relationship"": ""presented_to"",
    ""related_concept"": ""Logan"",
    ""description"": ""Dennis presented the business proposal to Logan""
  },
  {
    ""concept"": ""Logan"",
    ""relationship"": ""considering_investing_in"",
    ""related_concept"": ""Business Proposal"",
    ""description"": ""Logan is considering investing in the business proposal""
  }
],

{
  ""answer"": ""- Dennis"",
  ""reasoning"": ""The question asks who drew up the business proposal, which is described as Dennis in the given context.""
}"
Felicia unexpectedly made fried eggs for breakfast in the morning for Katrina and now _ owes a favor.,Felicia,Katrina,2,"Question: - Felicia unexpectedly made fried eggs for breakfast in the morning for Katrina and now _ owes a favor.
Options: - ['Felicia', 'Katrina']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",UIUCGI68OY," ""concepts"": [
  {
    ""name"": ""Felicia"",
    ""description"": ""A person who unexpectedly prepared fried eggs for breakfast""
  },
  {
    ""name"": ""Katrina"",
    ""description"": ""The person for whom Felicia prepared fried eggs for breakfast""
  }
],

""relationships"": [
  {
    ""concept"": ""Felicia"",
    ""relationship"": ""cooked"",
    ""related_concept"": ""fried eggs"",
    ""description"": ""Felicia prepared fried eggs for someone""
  },
  {
    ""concept"": ""Felica"",
    ""relationship"": ""owed favor by"",
    ""related_concept"": ""Katrina"",
    ""description"": ""Felicia owes a favor to Katrina due to the surprise breakfast""
  },
  {
    ""concept"": ""Katrina"",
    ""relationship"": ""recipient of"",
    ""related_concept"": ""fried eggs"",
    ""description"": ""Katrina received fried eggs for breakfast from Felicia""
  }
],

{
  ""answer"": [""Felicia"", ""owes a favor to"", ""Katrina""],
  ""reasoning"": ""Based on the identified concepts and relationships, Felicia unexpectedly cooked fried eggs for Katrina, which implies that she owes a favor to Katrina.""
}"
My shampoo did not lather easily on my Afro hair because the _ is too dirty.,shampoo,hair,2,"Question: - My shampoo did not lather easily on my Afro hair because the _ is too dirty.
Options: - ['shampoo', 'hair']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",WFAUCgvz91," ""concepts"": [
  {
    ""name"": ""shampoo"",
    ""description"": ""A cleansing agent used for washing hair.""
  },
  {
    ""name"": ""hair"",
    ""description"": ""A part of the body that grows from the scalp, made up of the follicle and the shaft.""
  },
  {
    ""name"": ""dirt"",
    ""description"": ""Impurities or substances that make a surface or substance less clean.""
  }
],

""relationships"": [
  {
    ""concept"": ""shampoo"",
    ""relationship"": ""is used for cleaning"",
    ""related_concept"": ""hair"",
    ""description"": ""Shampoo is used for cleaning hair.""
  },
  {
    ""concept"": ""hair"",
    ""relationship"": ""can become dirty"",
    ""related_concept"": ""dirt"",
    ""description"": ""Hair can become dirty.""
  },
  {
    ""concept"": ""shampoo"",
    ""relationship"": ""does not lather easily on"",
    ""related_concept"": ""hair"",
    ""description"": ""Shampoo does not lather easily when hair is dirty.""
  }
],

{
  ""answer"": ""The dirt on your hair is preventing the shampoo from lathering easily."",
  ""reasoning"": ""According to the given concepts and relationships, when hair is dirty, shampoo does not lather easily on it.""
}"
"The circuit failed to power the television but kept the radio going, as the _ had a weak connection.",television,radio,1,"Question: - The circuit failed to power the television but kept the radio going, as the _ had a weak connection.
Options: - ['television', 'radio']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",pXBo2lojCW," ""concepts"": [
  {
    ""name"": ""circuit"",
    ""description"": ""An electronic system designed to control the flow of electricity""
  },
  {
    ""name"": ""television"",
    ""description"": ""An electronic device used to display visual content""
  },
  {
    ""name"": ""radio"",
    ""description"": ""An electronic device used to transmit and receive sound waves""
  }
],

""relationships"": [
  {
    ""concept"": ""circuit"",
    ""relationship"": ""powers"",
    ""related_concept"": ""television"",
    ""description"": ""The circuit provides electrical power to the television""
  },
  {
    ""concept"": ""circuit"",
    ""relationship"": ""maintains_connection"",
    ""related_concept"": ""radio"",
    ""description"": ""The circuit keeps the connection strong enough for the radio to function""
  },
  {
    ""concept"": ""television"",
    ""relationship"": ""requires_power"",
    ""related_concept"": ""circuit"",
    ""description"": ""The television needs electrical power from the circuit to operate""
  },
  {
    ""concept"": ""radio"",
    ""relationship"": ""functions_with_weak_connection"",
    ""related_concept"": ""circuit"",
    ""description"": ""The radio can still work even if the connection is weak""
  }
],

""answer"": ""The weak connection in the circuit caused the television to fail but allowed the radio to continue functioning."",
""reasoning"": ""Based on the given concepts and their relationships, the circuit powers both the television and the radio. However, the television requires a stronger connection than the radio to function properly. Therefore, if the connection in the circuit is weak, the television will not be able to receive sufficient power and will fail, while the radio may still be able to function due to its lower power requirements."""
Emily was thrown out of the court for the lawsuit against Carrie because _ was the only one acting disruptively.,Emily,Carrie,1,"Question: - Emily was thrown out of the court for the lawsuit against Carrie because _ was the only one acting disruptively.
Options: - ['Emily', 'Carrie']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",s20u4nGHeb," ""concepts"": [
  {
    ""name"": ""Emily"",
    ""description"": ""A person involved in a lawsuit""
  },
  {
    ""name"": ""Carrie"",
    ""description"": ""Another person involved in the same lawsuit""
  },
  {
    ""name"": ""disruptive behavior"",
    ""description"": ""Acting in a way that disturbs or interrupts normal activity""
  }
],

""relationships"": [
  {
    ""concept"": ""Emily"",
    ""relationship"": ""is involved in"",
    ""related_concept"": ""lawsuit"",
    ""description"": ""Emily is a party in the lawsuit""
  },
  {
    ""concept"": ""Carrie"",
    ""relationship"": ""is involved in"",
    ""related_concept"": ""lawsuit"",
    ""description"": ""Carrie is a party in the lawsuit""
  },
  {
    ""concept"": ""Emily"",
    ""relationship"": ""was causing"",
    ""related_concept"": ""disruptive behavior"",
    ""description"": ""Emily was behaving disruptively""
  },
  {
    ""concept"": ""Carrie"",
    ""relationship"": ""was not causing"",
    ""related_concept"": ""disruptive behavior"",
    ""description"": ""Carrie was not behaving disruptively""
  }
],

""answer"": ""- Carrie"",
""reasoning"": ""Based on the given options and the identified relationships, Emily was the one acting disruptively during the lawsuit, so she was thrown out of the court."""
"The shop owner said that Sarah purchased several pieces of furniture unlike Rachel, due to _ being poor.",Sarah,Rachel,2,"Question: - The shop owner said that Sarah purchased several pieces of furniture unlike Rachel, due to _ being poor.
Options: - ['Sarah', 'Rachel']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",cRLWbtq0LN," ""concepts"": [
  {
    ""name"": ""Sarah"",
    ""description"": ""A person named Sarah""
  },
  {
    ""name"": ""Rachel"",
    ""description"": ""A person named Rachel""
  },
  {
    ""name"": ""Shop owner"",
    ""description"": ""The person who owns the furniture shop""
  },
  {
    ""name"": ""Purchased furniture"",
    ""description"": ""The act of buying furniture""
  },
  {
    ""name"": ""Being poor"",
    ""description"": ""A state of having insufficient resources""
  }
],

""relationships"": [
  {
    ""concept"": ""Shop owner"",
    ""relationship"": ""stated"",
    ""related_concept"": ""Sarah"",
    ""description"": ""The shop owner stated that Sarah did something""
  },
  {
    ""concept"": ""Sarah"",
    ""relationship"": ""purchased"",
    ""related_concept"": ""Furniture"",
    ""description"": ""Sarah bought furniture""
  },
  {
    ""concept"": ""Sarah"",
    ""relationship"": ""differs from"",
    ""related_concept"": ""Rachel"",
    ""description"": ""Sarah differs from Rachel in her purchasing behavior""
  },
  {
    ""concept"": ""Difference in purchasing behavior"",
    ""relationship"": ""due to"",
    ""related_concept"": ""Being poor"",
    ""description"": ""The difference in purchasing behavior is due to being poor""
  }
],

""answer"": ""- Sarah"",
""reasoning"": ""According to the shop owner's statement, Sarah purchased several pieces of furniture unlike Rachel, who was not specified to have purchased any furniture. The reason given for this difference was that Sarah is poor."""
Neil told Craig that he has to take care of the child for the day because _ promised to do so.,Neil,Craig,2,"Question: - Neil told Craig that he has to take care of the child for the day because _ promised to do so.
Options: - ['Neil', 'Craig']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",gizPizOE5c," ""concepts"": [
  {
    ""name"": ""Neil"",
    ""description"": ""A person who made a promise to Craig about taking care of the child.""
  },
  {
    ""name"": ""Craig"",
    ""description"": ""A person who is supposed to have the child taken care of by Neil.""
  },
  {
    ""name"": ""Promised Person"",
    ""description"": ""The person who was supposed to take care of the child according to the promise.""
  }
],

""relationships"": [
  {
    ""concept"": ""Neil"",
    ""relationship"": ""promised"",
    ""related_concept"": ""Promised Person"",
    ""description"": ""Neil promised to take care of the child.""
  },
  {
    ""concept"": ""Promised Person"",
    ""relationship"": ""supposed_to_do"",
    ""related_concept"": ""Craig"",
    ""description"": ""The Promised Person was supposed to take care of Craig.""
  },
  {
    ""concept"": ""Craig"",
    ""relationship"": ""expected_to_have_child_taken_care_of_by"",
    ""related_concept"": ""Neil"",
    ""description"": ""Craig expected Neil to take care of his child.""
  }
],

""answer"": ""- Neil"",
""reasoning"": ""According to the given options, Neil is the one who promised someone (later identified as Promised Person) to take care of the child, hence Neil is the one who has to take care of the child for the day."""
Neil told Craig that he has to take care of the child for the day because _ did it last time.,Neil,Craig,1,"Question: - Neil told Craig that he has to take care of the child for the day because _ did it last time.
Options: - ['Neil', 'Craig']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",zaQNTk56Kr," ""concepts"": [
  {
    ""name"": ""Neil"",
    ""description"": ""A person mentioned in the sentence""
  },
  {
    ""name"": ""Craig"",
    ""description"": ""Another person mentioned in the sentence""
  },
  {
    ""name"": ""_"",
    ""description"": ""A person who took care of the child last time""
  }
],

""relationships"": [
  {
    ""concept"": ""Neil"",
    ""relationship"": ""informed"",
    ""related_concept"": ""Craig"",
    ""description"": ""Neil told Craig""
  },
  {
    ""concept"": ""Neil"",
    ""relationship"": ""delegated"",
    ""related_concept"": ""_"",
    ""description"": ""Neil delegated taking care of the child to _ last time""
  },
  {
    ""concept"": ""_"",
    ""relationship"": ""preceded"",
    ""related_concept"": ""Craig"",
    ""description"": ""_ took care of the child last time""
  }
],

{
  ""answer"": ""The person who took care of the child last time"",
  ""reasoning"": ""According to the given sentence, Neil informed Craig that '_' took care of the child last time, so Craig is now responsible for taking care of the child.""
}"
