id,text,label,question_token1,question1,question_token2,question2,options,concept_guided_prompt,complete_question,response
301,The chief asked the editor to redo the documents because she was not satisfied.,chief,she,Who does 'she' refer to?,,,"['editor', 'chief']","Question: - The chief asked the editor to redo the documents because she was not satisfied. Who does 'she' refer to?
Options: - ['editor', 'chief']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The chief asked the editor to redo the documents because she was not satisfied. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""chief"",
      ""description"": ""A person in charge of a department or organization.""
    },
    {
      ""name"": ""editor"",
      ""description"": ""A person responsible for editing and preparing written content for publication.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""chief"",
      ""relationship"": ""asks"",
      ""related_concept"": ""editor"",
      ""description"": ""The chief requests the editor to perform a task.""
    },
    {
      ""concept"": ""editor"",
      ""relationship"": ""redos"",
      ""related_concept"": ""documents"",
      ""description"": ""The editor redoes the documents as requested.""
    }
  ]
}

[your answer]
{
  ""answer"": ""editor"",
  ""reasoning"": ""The sentence structure implies that the chief is the one issuing the request to the editor to redo the
documents. Therefore, 'she' refers to the editor, as the chief is the subject asking for the action to be performed by the
editor.""
}
</s>"
302,The chief asked the editor to redo the documents because he made significant errors.,editor,he,Who does 'he' refer to?,,,"['editor', 'chief']","Question: - The chief asked the editor to redo the documents because he made significant errors. Who does 'he' refer to?
Options: - ['editor', 'chief']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The chief asked the editor to redo the documents because he made significant errors. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""chief"",
      ""description"": ""A person in charge of a department or organization.""
    },
    {
      ""name"": ""editor"",
      ""description"": ""A person responsible for editing and preparing written content for publication.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""chief"",
      ""relationship"": ""asks"",
      ""related_concept"": ""editor"",
      ""description"": ""The chief requests the editor to perform a task.""
    },
    {
      ""concept"": ""editor"",
      ""relationship"": ""redos"",
      ""related_concept"": ""documents"",
      ""description"": ""The editor is responsible for redoing the documents.""
    },
    {
      ""concept"": ""editor"",
      ""relationship"": ""makes errors"",
      ""related_concept"": ""documents"",
      ""description"": ""The editor is the one who makes significant errors in the documents.""
    }
  ]
}

[your answer]
{
  ""answer"": ""editor"",
  ""reasoning"": ""The sentence structure implies that the chief is asking the editor to correct mistakes made by the editor in
the documents. Therefore, 'he' refers to the editor, as it is the editor's task to redo the documents due to the errors made
by him.""
}
</s>"
303,The cook tried to avoid seeing the auditor because she knew the problems in the kitchen were easy to find.,cook,she,Who does 'she' refer to?,,,"['auditor', 'cook']","Question: - The cook tried to avoid seeing the auditor because she knew the problems in the kitchen were easy to find. Who does 'she' refer to?
Options: - ['auditor', 'cook']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The cook tried to avoid seeing the auditor because she knew the problems in the kitchen were easy to find. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""cook"",
      ""description"": ""A person who prepares food for eating""
    },
    {
      ""name"": ""auditor"",
      ""description"": ""A person who examines and evaluates the accounts, financial records, and other activities of a business
or organization""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""cook"",
      ""relationship"": ""avoids seeing"",
      ""related_concept"": ""auditor"",
      ""description"": ""The cook tries to avoid encountering the auditor""
    },
    {
      ""concept"": ""auditor"",
      ""relationship"": ""examines"",
      ""related_concept"": ""kitchen"",
      ""description"": ""The auditor looks for problems in the kitchen""
    },
    {
      ""concept"": ""kitchen"",
      ""relationship"": ""location of"",
      ""related_concept"": ""problems"",
      ""description"": ""The kitchen is the place where issues are found""
    }
  ]
}

[your answer]
{
  ""answer"": ""cook"",
  ""reasoning"": ""The sentence structure implies that the subject 'she' is the same person who is trying to avoid the auditor,
indicating 'she' refers to the cook. The cook is the one with knowledge of the problems in the kitchen, making it clear that
'she' is the cook.""
}
</s>"
304,The cook tried to avoid seeing the auditor because he would easily find the problems with the kitchen.,auditor,he,Who does 'he' refer to?,,,"['auditor', 'cook']","Question: - The cook tried to avoid seeing the auditor because he would easily find the problems with the kitchen. Who does 'he' refer to?
Options: - ['auditor', 'cook']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The cook tried to avoid seeing the auditor because he would easily find the problems with the kitchen. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""cook"",
      ""description"": ""A person who prepares food for a living""
    },
    {
      ""name"": ""auditor"",
      ""description"": ""A person who examines and evaluates the financial records of a company or organization""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""cook"",
      ""relationship"": ""avoids"",
      ""related_concept"": ""auditor"",
      ""description"": ""The cook tries to avoid encountering the auditor""
    },
    {
      ""concept"": ""auditor"",
      ""relationship"": ""finds"",
      ""related_concept"": ""problems"",
      ""description"": ""The auditor easily identifies issues or mistakes""
    },
    {
      ""concept"": ""problems"",
      ""relationship"": ""located_in"",
      ""related_concept"": ""kitchen"",
      ""description"": ""The problems are specifically related to the kitchen""
    }
  ]
}

[your answer]
{
  ""answer"": ""cook"",
  ""reasoning"": ""The sentence structure implies that the subject 'he' is the one trying to avoid the auditor, which makes
'cook' the correct answer. The cook is the one who would be concerned about the auditor finding problems in the kitchen, not
the auditor.""
}
</s>"
305,The salesperson tried to convince the designer that nobody would buy the design because she knew the customers well.,salesperson,she,Who does 'she' refer to?,,,"['designer', 'salesperson']","Question: - The salesperson tried to convince the designer that nobody would buy the design because she knew the customers well. Who does 'she' refer to?
Options: - ['designer', 'salesperson']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The salesperson tried to convince the designer that nobody would buy the design because she knew the customers well. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""salesperson"",
      ""description"": ""An individual who sells products or services to customers.""
    },
    {
      ""name"": ""designer"",
      ""description"": ""A person who creates designs for products or visual concepts.""
    },
    {
      ""name"": ""customer"",
      ""description"": ""An individual or organization that buys goods or services from a company.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""salesperson"",
      ""relationship"": ""knows"",
      ""related_concept"": ""customer"",
      ""description"": ""The salesperson has knowledge about the customers' preferences and buying habits.""
    },
    {
      ""concept"": ""designer"",
      ""relationship"": ""creates"",
      ""related_concept"": ""design"",
      ""description"": ""The designer is responsible for creating designs for products or visual concepts.""
    },
    {
      ""concept"": ""customer"",
      ""relationship"": ""buys"",
      ""related_concept"": ""design"",
      ""description"": ""The customer is the individual or organization that purchases the product or service based on the
design.""
    },
    {
      ""concept"": ""salesperson"",
      ""relationship"": ""convince"",
      ""related_concept"": ""designer"",
      ""description"": ""The salesperson tries to persuade the designer about the potential sale of a product or service.""
    }
  ]
}

[your answer]
{
  ""answer"": ""salesperson"",
  ""reasoning"": ""The sentence structure implies that the subject 'she' refers to the person who has knowledge about the
customers, which aligns with the salesperson's role of knowing the customers' preferences and buying habits. Therefore, 'she'
refers to the salesperson.""
}
</s>"
306,The salesperson tried to convince the designer that nobody would buy the design because he failed to pick good colors.,designer,he,Who does 'he' refer to?,,,"['designer', 'salesperson']","Question: - The salesperson tried to convince the designer that nobody would buy the design because he failed to pick good colors. Who does 'he' refer to?
Options: - ['designer', 'salesperson']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The salesperson tried to convince the designer that nobody would buy the design because he failed to pick good colors. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""salesperson"",
      ""description"": ""An individual who sells products or services to customers.""
    },
    {
      ""name"": ""designer"",
      ""description"": ""A person who creates designs for various applications such as fashion, graphics, or websites.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""salesperson"",
      ""relationship"": ""attempts to convince"",
      ""related_concept"": ""designer"",
      ""description"": ""The salesperson tries to persuade the designer regarding the saleability of a design.""
    },
    {
      ""concept"": ""designer"",
      ""relationship"": ""responsible for"",
      ""related_concept"": ""color selection"",
      ""description"": ""The designer is in charge of choosing colors for the design.""
    },
    {
      ""concept"": ""designer"",
      ""relationship"": ""perceived as"",
      ""related_concept"": ""salesperson"",
      ""description"": ""The designer is viewed as the reason for the salesperson's concern about the saleability of the
design.""
    }
  ]
}

[your answer]
{
  ""answer"": ""designer"",
  ""reasoning"": ""The sentence implies that the salesperson's concern about the saleability of the design is directly related
to the designer's choice of colors. Since the designer is responsible for the color selection and the salesperson is
attempting to convince the designer about the saleability of the design, 'he' in the context refers to the designer.""
}
</s>"
307,The sheriff told the counselor that he was under investigation.,counselor,he,Who does 'he' refer to?,,,"['counselor', 'sheriff']","Question: - The sheriff told the counselor that he was under investigation. Who does 'he' refer to?
Options: - ['counselor', 'sheriff']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The sheriff told the counselor that he was under investigation. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""sheriff"",
      ""description"": ""A law enforcement officer responsible for maintaining order in a jurisdiction.""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A professional who provides advice and support to individuals or groups.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""sheriff"",
      ""relationship"": ""informs"",
      ""related_concept"": ""counselor"",
      ""description"": ""The sheriff communicates information to the counselor.""
    },
    {
      ""concept"": ""sheriff"",
      ""relationship"": ""is subject of"",
      ""related_concept"": ""investigation"",
      ""description"": ""The sheriff is the individual under investigation.""
    }
  ]
}

[your answer]
{
  ""answer"": ""sheriff"",
  ""reasoning"": ""The sentence structure implies that the sheriff is the one being investigated, as he is the one communicating
this information to the counselor. Therefore, 'he' refers to the sheriff.""
}
</s>"
308,The sheriff told the counselor that she would arrive in the afternoon.,sheriff,she,Who does 'she' refer to?,,,"['sheriff', 'counselor']","Question: - The sheriff told the counselor that she would arrive in the afternoon. Who does 'she' refer to?
Options: - ['sheriff', 'counselor']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The sheriff told the counselor that she would arrive in the afternoon. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""sheriff"",
      ""description"": ""A law enforcement officer responsible for maintaining order in a jurisdiction.""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A professional who provides advice and support to individuals or groups.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""sheriff"",
      ""relationship"": ""speaks to"",
      ""related_concept"": ""counselor"",
      ""description"": ""The sheriff communicates with the counselor.""
    },
    {
      ""concept"": ""sheriff"",
      ""relationship"": ""predicts arrival"",
      ""related_concept"": ""counselor"",
      ""description"": ""The sheriff indicates that the counselor will arrive at a specific time.""
    }
  ]
}

[your answer]
{
  ""answer"": ""counselor"",
  ""reasoning"": ""The sheriff's statement about the arrival time refers to the counselor, indicating that the counselor is the
person expected to arrive in the afternoon.""
}
</s>"
309,The analyst asked the counselor about his hourly rate.,counselor,his,Who does 'his' refer to?,,,"['counselor', 'analyst']","Question: - The analyst asked the counselor about his hourly rate. Who does 'his' refer to?
Options: - ['counselor', 'analyst']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The analyst asked the counselor about his hourly rate. Who does 'his' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""analyst"",
      ""description"": ""A person who analyzes data or information""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person who provides advice and guidance to individuals or groups""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""analyst"",
      ""relationship"": ""asks"",
      ""related_concept"": ""counselor"",
      ""description"": ""The analyst is the one asking the counselor about his hourly rate""
    },
    {
      ""concept"": ""counselor"",
      ""relationship"": ""has_attribute"",
      ""related_concept"": ""hourly rate"",
      ""description"": ""The counselor possesses an hourly rate, which is the subject of the question""
    }
  ]
}

[your answer]
{
  ""answer"": ""counselor"",
  ""reasoning"": ""The sentence structure implies that the 'his' refers to the counselor, as the analyst is asking about the
counselor's hourly rate. Therefore, 'his' refers to the counselor's hourly rate.""
}
</s>"
310,The analyst asked the counselor about her recent nightmares.,analyst,her,Who does 'her' refer to?,,,"['analyst', 'counselor']","Question: - The analyst asked the counselor about her recent nightmares. Who does 'her' refer to?
Options: - ['analyst', 'counselor']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The analyst asked the counselor about her recent nightmares. Who does 'her' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""analyst"",
      ""description"": ""A person who analyzes data or information""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person who provides advice and support to individuals or groups""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""analyst"",
      ""relationship"": ""asks"",
      ""related_concept"": ""counselor"",
      ""description"": ""The analyst is the one who asks the counselor about her nightmares""
    },
    {
      ""concept"": ""counselor"",
      ""relationship"": ""experiences"",
      ""related_concept"": ""nightmares"",
      ""description"": ""The counselor is the one who experiences nightmares""
    }
  ]
}

[your answer]
{
  ""answer"": ""counselor"",
  ""reasoning"": ""The sentence structure indicates that the pronoun 'her' refers to the person who is being asked about the
nightmares, which is the counselor, as the analyst is the one asking the question. Therefore, 'her' refers to the counselor.""
}
</s>"
